Rb;Istraživači;Predmet;NPP;Razred;Udžbenik;Lekcija;Negativni oblici ponašanja;Navedite šta;Univerzalne vrijednosti;Navedite šta;Partikularizacija vrijednosti;Sadržaji;Načini;Indikator 1;Aktivno učenje;Ne nudi se mogućnost diskusije;Indikator 2;Rješavanje problema;Puko pamćenje činjenica;Indikator 3;Mutiperspektivni pristup;Pristup jedne perspektive;Indikator 4 ;Diferencirani prikazi;Stereotipni prikazi
18;NI/ZS;Vjeronauka;S;7;V7;Kosovsko opredjeljenje i kosovska etika;Da;neravnopravnost, neodgovornost ZS-45-c, poticanjenažrtvovanje ZS- 46-c, represija, neprijateljstvo ZS- 46-d, glorifikacijaubistva ZS- 46-e, rat ZS-46-g ;Da;sloboda ZS-45-a, ZS-45-b, ZS-46-b, odgovornost NI-45-4;Da;teritorij, porijeklo, pobožnost, simboli ZS-45-a, ZS-45-b, NI-46-1, NI-46-3, NI-46-4,;mistifikacija, imputacija, redukcija;2;;NI-45-1, NI-45-2, NI-45-3;2;;NI-47-1, NI-47-2;2;;;2;;
19;NI/ZS;Vjeronauka;S;7;V7;Srpska crkva poslije kosovske bitke kao nosilac jedinstva srpskog naroda;Ne;;Ne;;Ne;;;2;;NI-48-1;2;;NI-48-2, NI-49-1, NI-50-2, NI-50-3;2;;;2;;ZS-48-a
20;NI/ZS;Vjeronauka;S;7;V7;Patrijarh Makarije Sokolović i obnova Pećke patrijaršije;Ne;;Ne;;Ne;;;2;;NI-51-2, NI-51-1 ;2;;NI-52-1, Ni- 52-2, NI-52-3;2;;;0;;
21;NI/ZS;Vjeronauka;S;7;V7;Pokret za oslobađanje od Turaka;Ne;;Da;sloboda ZS-53-b;Da;simboli, tradicija ZS-53-b;indukcija ZS-53-b, ;2;;NI-53-1, NI-54-1, NI-54-2;2;;ZS-54-c, NI-54-3;2;;NI-54-1, NI-54-2  ;0;;
22;NI/ZS;Vjeronauka;S;7;V7;Patrijarh Arsenije III i velika seoba Srba 1690. godine;Da;neravnopravnost NI-55-1, NI-55-2, NI-3, NI-55-4, NI-55-5, NI-57-1, neprijateljstvo;Da;sloboda ZS-56;Da;simboli ZS-56;;2;;NI-57-2;2;;NI-57-3, NI-57-4;2;;;0;;
23;NI/ZS;Vjeronauka;S;7;V7;Druga seoba Srba od 1737-1739. godine;Ne;;Ne;;Ne;;;2;;;2;;NI-59-1, NI-59-2  ;2;;;0;;
24;NI/ZS;Vjeronauka;S;7;V7;Karlovačka mitropolija;Da;neravnopravnost NI-60-1, neprijateljstvo ZS-60, pluralizamkaoproblem ZS-63;Ne;;Ne;;;2;;NI-60-2, NI-60-3;2;;NI-62, NI-63;2;;;0;;
25;NI/ZS;Vjeronauka;S;7;V7;Mitropolitan Stefan Stratimirović;Da;nejednakost, isključivost ZS-67-a ;Ne;;Ne;;;2;;NI-65-1, NI-66, NI-67-1;2;;NI-65-2, NI-67-2, NI -68, ZS-67-b;2;;ZS-65;0;;
26;NI/ZS;Vjeronauka;S;7;V7;Drugi srpski ustanak;Ne;;Ne;;Ne;;;2;;NI-70-2, NI-71;2;;NI-70-2,  NI-73, ZS-72;2;;;0;;
27;NI/ZS;Vjeronauka;S;7;V7;Srpska crkva u Crnoj Gori i Dalmaciji;Da;nasilje NI-75-1, neprijateljstvo NI-75-2;Da;sloboda, život ZS-77-a;Da;porijeklo, pobožnost ZS-77-a;;2;;NI-77-1, NI-77-2, NI-77-3 ;2;;NI-75-2, NI-75-3, NI-75-4, NI-78-1, NI-78-2;2;;;0;;
28;NI/ZS;Vjeronauka;S;7;V7;Srpska crkva u Bosni i Hercegovini za vrijeme Turaka i Austrougarske monarhije;Da;neravnopravnost NI-81, neprijateljstvo ZS-82, nejednakost ZS-85-a;Ne;;Ne;;;2;;NI-80, NI-82-3, NI-82-1, NI-84-1, NI-84-3, NI-85-1 ;2;;NI-83-1, NI-83-2, NI-85-2, NI-85-3;0;;;2;;ZS-82-d, ZS-83, ZS-84-a, ZS-84-b, ZS-85-a
29;NI/ZS;Vjeronauka;S;7;V7;Crkvena i narodna istorija 1918-1945. godine;Da ;neravnopravnost NI-86, neprijateljstvo NI-88-1, neodgovornost NI-88-4, pluralizamkaoproblem ZS-88-a;Ne;;Ne;;;2;;NI-87-2, NI-88-2;2;;NI-88-3, NI- 89;2;;ZS-88-c;0;;
30;NI/ZS;Vjeronauka;S;7;V7;Organizacija Srpske pravoslavne crkve;Da;pluralizamkaoproblem NI-91-1, NI-91-2, neravnopravnost, neprijateljstvo ZS-91-a;Ne;;Ne;;;2;;NI-91-1, NI-91-2;2;;NI-91-3, NI-91-4 ;2;;;0;;
1;ZPM/NI;Vjeronauka;B;7;V11;Prirodno je težiti uspjehu;Ne;;Da;odgovornost ZPM-6-a, ZPM-8-a, ZPM-8-e, ZPM-8-f, ZPM-8- d, ZPM-8-h, život ZPM-6-b, ZPM-7-a, ZPM-7-e, ZPM-7-f, ZPM-7-g, ZPM- 8-a, ZPM-8- g, ZPM -8-h, solidarnost ZPM-8-b, ZPM-8-c, ZPM-8-lj;Da;pobožnost;redukcija;1;ZPM-7-a, ZPM-8-i, ZPM-8-n, ZPM-7-2;;1;ZPM-7-c, ZPM-7-d, ZPM-8-j, ZPM-8-k, ZPM-8-lj, ZPM-8-m, NI-8-3 ;NI-7-1, NI-8-4;0;;;0;;
2;ZPM/NI;Vjeronauka;B;7;V11;Želje i stvarnosti;Ne;;Da;život ZPM-9-a, ZPM-10-f, odgovornost ZPM-9-b, ZPM-10-d, ZPM-10-f, ZPM-10-g, jednakost ZPM-9-c, dobročinstvo NI-10-3;Da;pobožnost  ZPM-10-d, ZPM- 10-g;redukcija;1;ZPM-11-j, ZPM-11-k;NI-12;2;;NI-10-1, NI-10-2, NI-11-2;0;ZPM-10-e;;0;;
3;ZPM/NI;Vjeronauka;B;7;V11;Upoznajmo sebe;Ne;;Da;život ZPM-13-a, ZPM-15-d, ZPM-15-f,  odgovornost ZPM-13-b, ZPM-13-c, ZPM-13-d, ZPM-15-g, ZPM-16-b, ZPM-16-c, ZPM-16-d, ZPM-16-e, ZPM-16-f, jednakost ZPM-16-a, solidarnost ZPM-16-b, ZPM-16-c, ZPM-16-e, ZPM-16-f, sloboda NI-15-3, saradnja NI-16-2;Da;pobožnost ZPM-13-c, ZPM-13-d, ZPM-15-d, ZPM-16-a, ZPM- 16-b, ZPM-16-e, ZPM-16-j, NI-15-4;redukcija;2;ZPM-15-a, ZPM-15-c;NI-15-2, NI-16-4, NI-16-5;2;; NI-15-1, NI-15-3, NI-15-4;2;;NI-16-1;2;;NI-16-3
4;ZPM/NI;Vjeronauka;B;7;V11;Kako graditi vlastitu ličnost;Ne;;Da;život ZPM- 17-a, ZPM-17-b, ZPM-18-a, ZPM-18-c, ZPM-18-d, ZPM-19-e, ZPM-19-f, ZPM-19-g, ZPM-19-lj, odgovornost ZPM-18-a, ZPM-18-b, ZPM-18-d, ZPM-19-h, ZPM-18-k, ZPM-18-n, solidarnost  ZPM-16-b, ZPM-16-c, ZPM-16- e, ZPM-16-f, ljubav, sigurnost NI-19-1;Da;pobožnost NI-19-2, NI-19-3;redukcija;2;;NI-18-2 ;2;;NI-18-1, NI- 18-3,  NI-20-1, NI-20-2, NI-21-1;0;;;0;;
5;ZPM/NI;Vjeronauka;B;7;V11;Svi smo jedinstveni ali trebamo jedni druge;Ne;;Da;život ZPM-22-b, ZPM-22-c, ZPM-24-a, odgovornost ZPM-22-e, ZPM-24-d, solidarnost ZPM-22-d, ZPM-22-e, ZPM-22-a, ZPM-24-c, ZPM-24-f, saradnja NI-22,  NI-24;Ne;;;1;ZPM-23-b, ZPM-23-c, ZPM-25-c, NI-25-3;;2;NI-25-2;NI-23-1, NI-23-2, NI-25-1;0;;ZPM-22, ZPM-24-b;0;;
6;ZPM/NI;Vjeronauka;B;7;V11;Moj tjelesni i duhovni razvoj;Ne;;Da;život ZPM-26-a, odgovornost ZPM-26-a, ZPM-26-b;Da;pobožnost ZPM- 26-c;mistifikacija;1;;ZPM-27-a, ZPM-27-b, ZPM-29-b;2;;NI-27, NI-28;0;;;0;;
7;ZPM/NI;Vjeronauka;B;7;V11;Razmirice i sukobi;Ne;;Da;saradnja ZPM-30-a, ZPM-30-c, odgovornost ZPM-30-a, ZPM-30-b, ZPM-30-c, NI-31-4;Da;patrijarhat ZPM-30-d, ZPM-30-e ;redukcija;1;NI-31-3, NI-32-3;;1;NI-31-2;NI-31-1;0;;;2;;NI-30
8;ZPM/NI;Vjeronauka;B;7;V11;Uzori i ideali u izgradnji identiteta;Ne;;Da;život ZPM-34-a, ZPM-34-b, ZPM-34-c, ZPM-34-d, saradnja ZPM-34-c, NI-36-1, odgovornost ZPM-35-a, ZPM-35-b, ZPM-35-c, ZPM-36-a, ZPM-36-b, dobrota NI-35-1;Da;pobožnost ZPM-35-c, ZPM-36-a, ZPM-36-f, ZPM-36-g, NI-35-2;redukcija, imputacija;1;ZPM-34-e, ZPM-36-c, ZPM-36-g, ZPM-37-a, NI-37-2;;2;NI-34-2, NI-37-1;NI-34-1, NI-36-2  ;0;;;0;;
9;ZPM/NI;Vjeronauka;B;7;V11;Stanje mog srca;Ne;;Da;život  ZPM-38-a, ZPM- 38-c, ZPM-38-d, ZPM-38-e, ZPM-39-g, ZPM-39-h, ZPM-39-i, ZPM- 40-a, solidarnost ZPM-38-a, ZPM-38-b, odgovornost ZPM-38-b, ZPM-39-a, ZPM-39-f, ZPM-40-a, dobrota NI-38-1;Da;pobožnost ZPM-38-d, ZPM-39-g;redukcija, insinuacija;1;ZPM-39-a, ZPM-39-d, ZPM-40-d, ZPM-42-a;;2;;NI-39- 1, NI-40-1, NI-42-1;0;;;0;;
10;ZPM/NI;Vjeronauka;B;7;V11;Pomozimo potrebne;Ne;;Da;odgovornost ZPM-43-a,  ZPM-43-b, ZPM-43-c, ZPM-44-d, ZPM-44-g, ZPM-44-h, ZPM-45-a, NI-43, NI-45-1, solidarnost ZPM-43-a, ZPM-43-b, ZPM-43-c, ZPM-44-d, ZPM-44-f, ZPM-44-g, ZPM-44-h, ZPM-45-a, saradnja ZPM-45-b;Da;pobožnost ZPM-43-d, ZPM-43-g, ZPM-43-h, ZPM-45-a, ZPM-45-b, ZPM-45-c, ZPM-45-d, ZPM-45-e, ZPM-45-f, ZPM-44-g, ZPM-44-h, NI-44-4;redukcija;1;ZPM-44-a, ZPM-45-f, ZPM-45-h, NI-44-2;;2;;ZPM-45-g, NI-44-1, NI-45-3;0;;;0;;
11;ZPM/NI;Vjeronauka;B;7;V11;Kur'an i ljudska prava;Ne;;Da;jednakost ZPM-46-a, ZPM- 46-c, ZPM-46-g, ZPM-46-h, ZPM-46-i, život ZPM-46-b, ZPM-46-g, ZPM-46-h, ZPM-46- i, ZPM- 47-a, ZPM-47-b, sloboda ZPM- 46-d,  ZPM-47-a, ZPM-47-b, odgovornost ZPM-46-e, ZPM-46-f, ZPM-46-i, NI-47-2, solidarnost ZPM-46-f;Da;pobožnost ZPM-46-a, ZPM-46-b, ZPM-46-c, ZPM-46-d, ZPM-46-e, ZPM-46-g, ZPM-46-h, ZPM-46-i;redukcija;1;;ZPM-47-c, ZPM-48-a, ZPM-48-c;2;;NI-47-1;0;;;0;;
12;ZPM/NI;Vjeronauka;B;7;V11;Brinimo o drugima;Ne;;Da;solidarnost ZPM-49-a,  ZPM-49-b, ZPM-49-d, ZPM-49-e, ZPM-49-g, ZPM-50-a, ZPM-50-e, ZPM-51-b, odgovornost ZPM-49-b, ZPM-49-d, ZPM-49-e, ZPM- 50-a, ZPM-50-b, ZPM-50-e, ZPM-51-a,  ZPM-51-b, život ZPM-49-c, saradnja ZPM-49-f ;Da;pobožnost ZPM-49-b, ZPM-49-f, ZPM-49-g, ZPM-50-b, ZPM-50-e, ZPM-51-a, ZPM-51-e, NI-50-2;redukcija;1;ZPM-51-d, ZPM-51-e, NI-51-2;;2;;NI-51-1;0;;;0;;
13;ZPM/NI;Vjeronauka;B;7;V11;Željeti drugima isto što i sebi;Ne;;Da;život ZPM-52-a, ZPM-53-a, odgovornost ZPM-53-a, ZPM-54-a, ZPM-54-b, solidarnost ZPM-54-a ;Da;pobožnost ZPM-54-a, ZPM-54-b ;redukcija ZPM-54-a, ZPM-54-b;1;ZPM- 54-g, NI-54-2;;1;;ZPM-53-b,  ZPM-54-c, ZPM-54-d, ZPM-54-e;0;;;0;;
14;ZPM/NI;Vjeronauka;B;7;V11;Džamija - srce džemata;Ne;;Da;život ZPM-55-a, ZPM-56-d, saradnja  ZPM-56-a, odgovornost ZPM-56-b, solidarnost ZPM- 56-b, ZPM- 57-a, jednakost ZPM-56-c;Da;pobožnost ZPM-55-a, ZPM-56-a, ZPM-56-b, ZPM-56-c, ZPM-56-d, NI-56-2;redukcija ZPM-55-a, ZPM-56-a, ZPM-56-b, ZPM-56-c, ZPM-56-d;0;ZPM-57-a, ZPM-58-b ;;2;;NI-57, NI-58 ;2;;NI-55-1, NI-55-2;0;;
15;ZPM/NI;Vjeronauka;B;7;V11;Allah je uz iskrene;Ne;;Da;život ZPM-59-a, odgovornost ZPM-60-c, ZPM-60-d, saradnja, solidarnost ZPM-62-c, ZPM-62-d, iskrenost NI-60-2;Da;pobožnost ZPM-60-c, NI-61;redukcija ZPM-60-c;2;ZPM-60-a, ZPM-63-a;NI-62-2, NI-62-3 ;2;;NI-60-1, NI-62-1, NI-63-1, NI-63-2;0;;;0;;
16;ZPM/NI;Vjeronauka;B;7;V11;Strpljenjem do uspjeha;Ne;;Da;odgovornost ZPM-64-a, život ZPM-65-a;Da;pobožnost  ZPM-65-a, ZPM-65-b;redukcija ZPM-65-a, ZPM- 65-b ;0; ZPM-66-a, ZPM-66-c;;2;;NI-66;0;;;0;;ZPM-64-b
17;ZPM/NI;Vjeronauka;B;7;V11;Muhammed a.s., oživljava ljubav prema djeci;Ne;;Da;jednakost ZPM-67-b, ZPM-69-a, solidarnost ZPM-67-c, NI-69-2, odgovornost ZPM-68-a, ZPM-69-d, ZPM-70-a, ZPM-70-b, ZPM-70-c, ZPM-70-d, ZPM-70-e, ZPM-71-a, ZPM-71-b, ZPM-71-c, ZPM-71-d, ZPM-71-e, život NI-68-1,  NI-69-1, ZPM-69-b;Da;pobožnost ZPM-67-c, ZPM-69-b, ZPM- 69-c,  ZPM-70-a, patrijarhat ZPM-70-d, ZPM-70-e ;redukcija ZPM-67-c, ZPM-69-b, ZPM-70-a;1;ZPM-68-b, ZPM-71-h, NI-71-5;;1;ZPM-71-i, ZPM-71-k, ZPM-71-l, ZPM-72-a, ZPM-72-b;NI-68-2;1;ZPM-71-d, NI-71-3 ;NI-67-1;0;;
18;ZPM/NI;Vjeronauka;B;7;V11;Pred kraj dana zahvalimo se Allahz dž.š. ;Ne;;Da;saradnja ZPM-76-a, ZPM-76-b, odgovornost ZPM-78-b, ZPM-78-c, ZPM-78-d;Ne;;;0;ZPM-78-a, ZPM-78-e ;;2;;NI-74-1, NI-74-2, NI-78-1;1;ZPM-76-a, ZPM-76-b;;0;;
19;ZPM/NI;Vjeronauka;B;7;V11;Propisuje vam se post;Ne;;Da;život ZPM-79-a, ZPM-80-a,  ZPM-80-b, solidarnost ZPM-81-a, ZPM-81-b, ZPM-81-c, ZPM-81-f, mir  ZPM-81-b, odgovornost ZPM-81-f, saradnja NI-81-3;Da;pobožnost ZPM-79-a, ZPM-80-a, ZPM-80-b;redukcija ZPM-79-a, ZPM-80-a, ZPM-80-b ;2;;NI-79, NI-80-1, NI-82-2, ;2;;NI-82-1;1;ZPM-81-a, ZPM-81-b  ;;0;;
20;ZPM/NI;Vjeronauka;B;7;V11;Izazovi posta;Ne;;Ne;;Ne;;;0;;;2;NI-86-2;NI-84, NI-86-1,;0;;;0;;
21;ZPM/NI;Vjeronauka;B;7;V11;Obilje ramazanskih darova;Ne;;Da;solidarnost ZPM-87-a, ZPM-88-b, saradnja ZPM-87-b, život ZPM-88-a, odgovornost ZPM- 88-c, NI-88-1;Da;pobožnost ZPM-87-a, ZPM- 87-b, ZPM-88-a, ZPM-88-b, ZPM-88-c;redukcija ZPM-87-a, ZPM-87-b, ZPM-88-a ;0;ZPM-88-d, ZPM-89-a, ZPM- 90-a, ZPM-90-b;;2;;NI-89;2;; NI-87-1;2;;NI-87-2
22;ZPM/NI;Vjeronauka;B;7;V11;Odazivam ti se, Bože;Ne;;Ne; ;Ne;;;0;;;2;;NI-93-1, NI-95-1;2;; NI-95-2;0;;
23;ZPM/NI;Vjeronauka;B;7;V11;Jedinstvo i jednakost;Ne;;Da;saradnja ZPM-96-a, ZPM- 96-b,  ZPM-97-a, ZPM-97-b, ZPM-97-c, jednakost ZPM-97-d, ZPM-97-e, ZPM-97-f, ZPM-97-g, NI-96-1, mir ZPM-97-e;Da;pobožnost ZPM-96-a, ZPM-97-b, ZPM-97-d, ZPM-97-f, NI-96-2, NI-98-2, patrijarhat ZPM-97-g;redukcija ZPM-96-a, ZPM-96-b, ZPM-97-a, ZPM-97-b, ZPM-97-c, ZPM-97-d, ZPM-97-g, mistifikacija ZPM-97-g ;1;ZPM-98-a, ZPM-98-b, ZPM-98-d, ZPM-98-e, NI-97-2;;2;;NI-97-1, NI-98-1;0;;;0;;
24;ZPM/NI;Vjeronauka;B;7;V11;Žrtva koja približava Bogu;Ne;;Da;solidarnost ZPM-100-h  ;Ne;;;1;ZPM-100-b, ZPM-100-c, ZPM-100-g, NI-102-3;;2;;NI-102-2;2;ZPM-100-b, NI-101, NI-102-1;;0;;
25;ZPM/NI;Vjeronauka;B;7;V11;Koliko smo pravedni;Ne;;Da;jednakost  ZPM-103-a, ZPM-104-d, ZPM-104-f, odgovornost ZPM-103-b, ZPM-103-c, ZPM-104-b, ZPM-104-d, ZPM-104-e,ZPM-104-f, NI-105-1, pravednost NI-105-4, NI-105-5;Da;pobožnost ZPM-103-b, ZPM-105-b, porijeklo ZPM-105-c, ZPM-105-d, patrijarhat ZPM-105-f ;redukcija ZPM-103-b, ZPM-105-a, ZPM-105-b, ZPM-105-c, ZPM-105-d, ZPM-105-f, ZPM-105-g, ZPM-105-h;1;ZPM-106-b ;NI-105-2, NI-105-3 ;1;;ZPM-104-c, ZPM-104-d, ZPM-106-a, ZPM-106-c, ZPM-106-d, NI-105-5;2;;NI-103 ;0;;
26;ZPM/NI;Vjeronauka;B;7;V11;Sve se dešava sa razlogom;Ne;;Ne;;Ne;;;2;;NI-109-2 ;2;;ZPM-110- b, ZPM-110-d, ZPM-110-e,ZPM-110-f, NI-108, NI-109-1, NI-110-1;2;;NI-107;0;;
27;ZPM/NI;Vjeronauka;B;7;V11;Život u ljubavi i slobodi;Ne;;Da;solidarnost ZPM-111-b, sloboda ZPM-111-c, ZPM-112-a, NI-113-2, jednakost ZPM-113-c;Da;pobožnost NI-113-3, teritorij NI-113-4;redukcija, mistifikacija;0;;;2;ZPM-113-r;NI-112-1, NI-112-2, NI-112-3, NI-112-4, NI-114 ;2;;;0;;
28;ZPM/NI;Vjeronauka;B;7;V11;Iz vrela mudrosti;Ne;;Da;život ZPM-115-a,  jednakost ZPM-117-a, odgovornost NI-117-1;Da;pobožnost NI-117-5;redukcija;2;ZPM-117-g, ZPM-117-h;NI-115-2, NI-116-1, NI-116-2, NI-117-2;1;ZPM-117-f, NI-117-4;NI-117-3;1;;NI-115-1;0;;
29;ZPM/NI;Vjeronauka;B;7;V11;Blagodati lijepog postupka;Ne;;Da;život, odgovornost, saradnja, solidarnost, NI-119-4, NI-119-2, ZPM-118-a, ZPM-118-c, ZPM-118-b;Da;pobožnost ZPM-118-b, ZPM-119-d, ZPM-119-i;redukcija ZPM-118-b, ZPM-119-d, ZPM-119-i;1;ZPM-120-a, ZPM-120-j, NI-120-4;NI-119-3;1;ZPM-120-F, ZPM-120-h;NI-120-1, NI-120-3;0;;;0;;
30;ZPM/NI;Vjeronauka;B;7;V11;govor nas predstavlja;Ne;;Da;odgovornost, saradnja, mir ZPM-121-a, ZPM-121-b, ZPM-122-f, ZPM-122-e, ZPM-123-, ZBM-123-b, ZPM-123-c, ZPM-123-e, NI-124-1, ZPM-122-d;Da;pobožnost, patrijarhat ZPM-122-a, ZPM-122-d, ZPM-122-e, ZPM-122-f, ZPM-124-c;redukcija ZPM-122-a, ZPM-122-e, ZPM-122-d, ZPM-122-f;2;;NI-123-2, NI-124-3;1;ZPM-122-c, ZPM-124-g;NI-122-1, NI-124-4;0;ZPM-122-a, ZPM-124-i;;0;;
31;ZPM/NI;Vjeronauka;B;7;V11;Riječi koje nas nadahnjuju;Ne;;Da;odgovornost, mir, saradnja ZPM-125-a, ZPM-125-b, ZPM-125-d, ZPM-125-c;Ne;;;1;ZPM-127-a, ZPM-127-b, ZPM-128-a;;1;ZPM-127-c, ZPM-127-d, ZPM-128-b, ZPM-128-c;NI-126-1, NI-127-1, NI-128-1;2;;NI-126-2;0;;
32;ZPM/NI;Vjeronauka;B;7;V11;Zloupotreba govora;Ne;;Da;odgovornost, saradnja ZPM-129-a, ZPM-129-b, ZPM-130-b, ZPM-132-a;Da;pobožnost ZPM-132-a;redukcija ZPM-132-a;1;ZPM-130-a, NI-132-3;;2;ZPM-132-f;NI-130-1, NI-130-2, NI-132-2;0;ZPM-132-g;;0;;
33;ZPM/NI;Vjeronauka;B;7;V11;Islam rađa novu kulturu;Da;nejednakost, ekskluzivizam ZPM-136-a, ZPM-135-d;Ne;;Ne;;;0;ZPM-136-c;;2;;NI-134-2, NI-136-3;2;;NI-135-3, NI-133-4;0;;
34;ZPM/NI;Vjeronauka;B;7;V11;Allah je lijep i voli ljepotu;Ne;;Ne;;Ne;;;2;ZPM-137-c, ZPM-139-c, ZPM-139-e;NI-139-1;2;ZPM-139-d;NI-137-2, NI-139-2, NI-139-3;0;;;0;;
35;ZPM/NI;Vjeronauka;B;7;V11;Umjetnost koja veliča Boga;Ne;;Da;život, mir ZPM-140-a;Ne;;;2;ZPM-143-a;NI-143-1;2;;NI-141-2;2;;NI-149-1, NI-149-2, NI-149-3, NI-150-2;0;;
36;ZPM/NI;Vjeronauka;B;7;V11;Radujte se uspjehu;Ne;;Ne;;Ne;;;0;;;0;;;0;;;0;;
1;ZS/ZPM;Vjeronauka;H;6;V2;Uvod;Ne;;Da;sloboda, odgovornost  ZS-5-a, ZS-5-c;Da;pobožnost ZS-5-b;ignorancija ZS-5b;0;;;0;;;0;;;0;;
2;ZS/ZPM;Vjeronauka;H;6;V2;Suvremene situacije ropstva i ovisnosti;Ne;;Da;život, sloboda, jednakost, odgovornost, solidarnost  ZPM-7-a, ZPM-7-b, ZPM-7-c, ZPM-8-b, ZPM-8-d, ZPM-9-a, ZPM-7-d, ZPM-9-b, ZPM-8-c, ZPM-8-f, ZPM-8-g, ZPM-9-c;Da;pobožnost ZPM-8-d, ZPM-8-f;redukcija, mistifikacija ZPM-8-d, ZPM-8-f;1;ZPM-7-a, ZS-9-d;;1;ZPM-9-e;;1;ZPM-9-a, ZPM-9-d;;2;ZPM-13-a, ZPM-13-b;ZPM-8-a, ZPM-9-a
3;ZS/ZPM;Vjeronauka;H;6;V2;Sloboda izvire iz prave ljubavi;Ne;;Da;sloboda, jednakost, odgovornost, solidarnost  ZS-10-a, ZS-11-a, ZS-11-b, ZS-13-d, ZPM-11-d, ZS-12-c, ZS-14-e;Da;prošlost,  tradicija,  pobožnost ZS-10-a, ZPM-10-c, ZPM-11-b, ZPM-11-c, ZPM-11-f, ZPM-11-g, ZPM-11-a, ZPM-11-b, ZPM-11-c;imputacija, redukcija ZS-10-a, FPM-11-c, FPM-11-f, FPM-11-g, FPM-11-a;1;ZS-13-a, FPM-10-a, ZPM-10-b, ZPM-13-f, ZPM-13-g;;1;ZPM-11-d, ZPM-11-e, ZPM-13-h, ZPM-13-i, ZPM-13-j, ZPM-13-k, ZPM-13-l;;1;ZPM-13-a, ZPM-13-b;;2;;ZPM-10-d, ZPM-11-d
4;ZS/ZPM;Vjeronauka;H;6;V2;Božji poziv i nalog - Mojsije vodi narod u slobodu;Ne;;Da;sloboda  ZPM-15-a, ZPM-15-b, ZPM-20-a;Da;pobožnost ZPM-15-a, ZPM-15-b;redukcija ZPM-15-a, ZPM-15-b, ZPM-20-a;0;ZPM-22-b, ZPM-22-c;;1;ZPM-22-d, ZPM-22-e;;1;ZPM-22-a, ZPM-22-c, ZS-22-b;;1;ZPM-16-c, ZPM-16-d;
5;ZS/ZPM;Vjeronauka;H;6;V2;Božja ljubav i pomoć - Bog u pustinji hrani svoj narod;Ne;;Ne;;Ne;;;1;ZPM-23-a, ZPM-26-b, ZPM-26-c;;2;ZPM-26-d;ZS-26-b;0;ZPM-23-d, ZPM-25-a ;;0;;
6;ZS/ZPM;Vjeronauka;H;6;V2;(Krivnja i oprost - Savez na Sinaju;Ne;;Da;sloboda, život, odgovornost, saradnja, mir, solidarnost  ZPM-27-b, ZPM-30-a, ZPM-28-a, ZPM-30-b, ZPM-28-b;Da;pobožnost;redukcija ZPM-27-b, ZPM-28-a, ZPM-28-b, ZPM-28-c, ZPM-30-a, ZPM-30-b, ZPM-31-c, ZPM-31-d, ZPM-31-f;1;ZPM-27-a, ZPM-31-c, ZPM-31-e, ZPM-31-f;;2;ZPM-31-d;ZS-31-c;1;ZS-28-b, ZPM-31-a;;0;;
7;ZS/ZPM;Vjeronauka;H;6;V2;Čovjek između težnje za slobodom i izazova robovanja;Ne;;Da;solidarnost, odgovornost, jednakost, sloboda  ZS-35-a, ZS-35-b, ZPM-33-c, ZPM-33-e, ZPM-33-h, ZPM-35-c, ZPM-34-a, ZPM-34-c, ZPM-33-b, ZPM-35-f, ZPM-35-d;Da;pobožnost ZPM-33-d, ZPM-34-a, ZPM-35-c, ZPM-35-d, ZPM-35-e, ZPM-35-f; mistifikacija, redukcija ZPM-33-d, ZPM-34-a, ZPM-34-b, ZPM-34-c, ZS-35-b, ZS-35-c;1;ZPM-33-a, ZPM-35-f, ZPM-35-g, ZPM-35-e, ZS-35-d;;1;ZPM-33-b, ZPM-35-h, ZPM-35-i;;1;ZPM-35-a, ZPM-35-e, ZPM-35-f, ZPM-35-g;;0;;
8;ZS/ZPM;Vjeronauka;H;6;V2;Isusove riječi i djela;Ne;;Da;pravda, sloboda, život, solidarnost, odgovornost  ZPM-36-b, ZPM-37-b, ZPM-37-d, ZPM-39-a;Da;pobožnost; redukcija,  mistifikacija ZPM-36-b, ZPM-39-a, ZPM-41-c, ZPM-41-d, ZPM-41-e, ZPM-41-f, ZPM-41-g;1;ZPM-36-a, ZPM-36-b, ZPM-41-a, ZPM-41-b, ZPM-41-c, ZPM-41-c, ZPM-41-d;;0;;;0;ZPM-39-a;;2;;ZPM-39-b
9;ZS/ZPM;Vjeronauka;H;6;V2;Tajne Božjeg služenja - Posljednja večera;Ne;;Da;solidarnost, saradnja, jednakost  ZPM-42-a, ZPM-43-b, ZPM-44-a, ZPM-44-b, ZPM-43-a;Da;pobožnost;redukcija ZPM-42-a, ZPM-43-a, ZPM-43-b, ZPM-44-e, ZPM-44-f, ZPM-44-g, ZPM-44-h;1;ZPM-44-d, ZPM-44-e;;1;ZPM-44-c, ZPM-44-f, ZPM-44-g, ZPM-44-h;;1;ZPM-44-b;;0;;
10;ZS/ZPM;Vjeronauka;H;6;V2;Ljuba koja oslobađa - Muka, smrt i uskrsnuće;Ne;;Da;odgovornost, jednakost  ZS-49-a, ZPM-47-a;Da;pobožnost;redukcija  ZPM-47-a, ZPM-48-a, ZPM-48-b, ZPM-48-c, ZPM-48-d, ZPM-48-e, ZPM-48-f;1;ZPM-45-a, ZPM-48-a, ZPM-48-b, ZPM-48-c, ZPM-48-d, ZPM-48-f;;1;ZS-48-b;ZS-48-a;1;ZPM-49-a;;0;;
