Rb;Istraživači;Predmet;NPP;Razred;Udžbenik;Lekcija;Negativni oblici ponašanja;Navedite šta;Univerzalne vrijednosti;Navedite šta;Partikularizacija vrijednosti;Sadržaji;Načini;Indikator 1;Aktivno učenje;Ne nudi se mogućnost diskusije;Indikator 2;Rješavanje problema;Puko pamćenje činjenica;Indikator 3;Mutiperspektivni pristup;Pristup jedne perspektive;Indikator 4 ;Diferencirani prikazi;Stereotipni prikazi
16;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;O milosrđu, čistoti srca I mirotvorstvu;Da;pluralizamkaoproblem ZPM-46-b;Da;solidarnost ZS-45, ZPM-45-a, mir ZS-46-a, ZPM-45-c, ZPM-46-a, ZPM-46-b, jednakost ZPM-45-b, odgovornost ZPM-45-g, ZPM-45-d, ZPM-46-c, život ZPM-46-a;Da;pobožnost, ZS-45, ZS-46-a, ZPM-45-b, ZPM-45-g, ZPM-45-d, ZPM-46-a,ZPM-46-b, ZPM-46-c, patrijarhat ZPM-46-d;imputacija ZS-45, ZS-46-a, redukcija, mistifikacija;2;;;2;;ZS-46-b;0;;;2;;ZPM-46-b
17;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;O stradnju - Osmo I deveto blaženstvo - Stradanje za pravdu/vjeru;Ne;;Da;odgovornost ZPM-47-a, ZPM-47-b;Da;pobožnost;redukcija, mistifikacija;2;;ZPM-47-a, ZPM-47-b;2;;ZS-47-b;0;;;2;;ZPM-47-a, ZS-47-a
18;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;Hrišćanstvo I zajednica - Brak, dužnosti djece i roditelja jednih prema drugima;Da;neravnopravnost ZPM-50-b;Da;život ZPM-48-a, odgovornost ZPM-48-a, ZPM-50-a, ZPM-50-b, ZPM-50-c, ZPM-51-a, ZPM-51-b, saradnja ZPM-50-a;Da;pobožnost ZPM-50-a, ZPM-50-b,  ZPM-50-c, patrijarhat ZPM-48-a, ZPM-50-b, ZPM-50-c;redukcija, imputacija ZPM-50-a, ZPM-50-b, ZPM-50-c, mistifikacija, ignorancija;2;;ZS-48;2;;ZS-51-b, ZPM-50-a ;2;;ZPM-48-a, ZPM-48-b, ZPM-51-a, ZPM-51-b;2;;ZS-50, ZS-51-a, ZPM-48-a, ZPM-50-a, ZPM-50-b, ZPM-50-c, ZPM-51-a
19;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;Dužnost starješina I potčinjenih;Ne;;Da;sloboda ZS-52-a;Da;pobožnost ZS-52-a;ignorancija ZS-52-b;2;;ZS-52-a, ZS-52-b;2;;ZS-53;2;;ZPM-52-a;2;;ZS-52-a 
20;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;Dužnost prema otadžbini: Važnost I obaveza državnih zakona;Da;rat ZS-54-d ;Da;odgovornost ZPM-54-a, ZPM-54-b;Da;porijeklo, pobožnost;redukcija, mistifikacija, ignorancija ZPM-54-a, ZPM-54-b, ZPM-54-c, ZPM-54-d, ZPM-54-e;2;;ZS-54-c;2;;ZS-55;2;;;2;;ZS-54-a, ZS-54-b 
21;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;Dužnosti prema crkvenoj zajednici;Ne;;Ne;;Ne;;;2;;ZS-56-a;2;;ZS-56, ZS-57;2;;;0;;
22;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;O crkvenim zakonima I zapovijestima;Ne;;Da;odgovoronost ZPM-58-a;Da;pobožnost, patrijarhat;redukcija, imputacija;2;;ZS-58, ZS-59 ;2;;ZS-58, ZS-59 ;2;;;0;;
23;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;Odnos hrišćana prema sveštenoslužiteljima - Odnos hrišćana prema sektama, inovjernima I nevjernima;Da;neprijateljstvo ZS-61-a, pluralizamkaoproblemZPM-61-a;Da;solidarnost ZS-62-b, ZS-62-c, ZPM-62-a, ZPM-62-b, ZPM-62-c, odgovornost ZPM-60-a, ZPM-62-b, ZPM-62-c;Da;pobožnost ZS-62-d, patrijarhat;redukcija ZS-62-c, ZS-62-d, imputacija, mistifikacija;2;;ZPM-62-a, ZPM-62-b, ZPM-62-c;2;;ZS-62-e;2;;ZS-62-a;2;;ZS-61-b, ZS-61-c, ZS-61-d, ZPM-61-b
1;ZS/ZMP;Vjeronauka;B;8;V12;Uvod;Ne;;Da;solidarnost, mir ZS-5;Ne;;;0;;;0;;;0;;;0;;
2;ZS/ZMP;Vjeronauka;B;8;V12;Izazovi I nade;Ne;;Da;odgovornost ZPM-7-c, ZPM-7-e, sloboda ZPM-7-b;Da;pobožnost;redukcija;2;;ZS-7;1;ZPM-7-a, ZPM-7-b, ZPM-7-c, ZS-8-b;;0;;;2;;ZS-6 
